model,feature,accuracy,precision,recall,f1,sensitivity,specificity
SVC,AAC,0.8933910306845004,0.8935643318430204,0.8928965735706267,0.8931568832634391,0.8798037612428454,0.9059893858984079
SVC,DPC,0.8969315499606609,0.8973170975755124,0.8963082490823779,0.8966695524546264,0.8798037612428454,0.9128127369219106
SVC,CTD,0.8560188827694729,0.8558777650630618,0.8556942156803793,0.8557774764267205,0.8470973017170891,0.8642911296436695
SVC,PAAC,0.8855232100708104,0.887235132433783,0.8842736233810271,0.8850149762101398,0.8511856091578087,0.9173616376042456
SVC,APAAC,0.8839496459480723,0.8855615507593925,0.8827275674663715,0.8834466009986206,0.8503679476696647,0.9150871872630781
SVC,RSacid,0.8973249409913454,0.8980132656362776,0.8965385457031858,0.8970170166814049,0.8757154538021259,0.9173616376042456
SVC,RSpolar,0.8977183320220299,0.8986323020331453,0.896828353698415,0.8973798096033072,0.8732624693376942,0.9203942380591357
SVC,RSsecond,0.8977183320220299,0.8978852447717878,0.8972449333193647,0.8974974565125686,0.884709730171709,0.9097801364670205
SVC,RScharge,0.8957513768686074,0.8962078938075984,0.8950817568501621,0.8954737786020334,0.8773507767784138,0.9128127369219106
SVC,RSDHP,0.8953579858379229,0.8960663407130283,0.8945539033572474,0.8950396171224453,0.8732624693376942,0.9158453373768006
LGBMClassifier,AAC,0.8831628638867034,0.8831118638179607,0.8828323322817591,0.8829554835694071,0.8740801308258381,0.8915845337376801
LGBMClassifier,DPC,0.8749016522423289,0.8749646918302948,0.8744254207795121,0.8746406033954954,0.8618152085036794,0.8870356330553449
LGBMClassifier,CTD,0.8619197482297404,0.8622313733096598,0.861201807410034,0.8615520614691083,0.8421913327882257,0.8802122820318423
LGBMClassifier,PAAC,0.8847364280094414,0.8846888260254597,0.8844081438836255,0.8845318406930515,0.8757154538021259,0.8931008339651251
LGBMClassifier,APAAC,0.8796223446105429,0.8795271366149704,0.8793313897083757,0.8794205130780779,0.8716271463614064,0.8870356330553449
LGBMClassifier,RSacid,0.8894571203776553,0.8895801773164129,0.8889868002531713,0.8892224423568275,0.8765331152902698,0.9014404852160728
LGBMClassifier,RSpolar,0.8815892997639654,0.881621706835086,0.8811672536182606,0.8813548467629453,0.8699918233851186,0.8923426838514026
LGBMClassifier,RSsecond,0.8835562549173879,0.8835478100294305,0.8831816516514097,0.8833377986822258,0.8732624693376942,0.8931008339651251
LGBMClassifier,RScharge,0.8886703383162864,0.8889102853990767,0.888109627390606,0.8884090692275892,0.8732624693376942,0.9029567854435178
LGBMClassifier,RSDHP,0.8874901652242329,0.88758934130941,0.8870319135944436,0.8872553854437475,0.874897792313982,0.8991660348749052
ExtraTreesClassifier,AAC,0.8827694728560189,0.8829682632852267,0.8822152117272122,0.8824988211351847,0.8675388389206868,0.8968915845337376
ExtraTreesClassifier,DPC,0.8497246262785209,0.8495273097862259,0.8499563273299169,0.8496232544079605,0.8560915780866721,0.8438210765731615
ExtraTreesClassifier,CTD,0.8229740361919748,0.8229135427163916,0.8223938822307095,0.8225917516563688,0.8070318887980377,0.8377558756633814
ExtraTreesClassifier,PAAC,0.8764752163650669,0.8765427730151842,0.8760012323813786,0.8762174511515268,0.8634505314799673,0.88855193328279
ExtraTreesClassifier,APAAC,0.8721479150275374,0.872049358885294,0.8718314067559048,0.8719294021971747,0.8634505314799673,0.8802122820318423
ExtraTreesClassifier,RSacid,0.8811959087332809,0.8813893469733813,0.8806394001253459,0.8809216241034423,0.8659035159443991,0.8953752843062927
ExtraTreesClassifier,RSpolar,0.8811959087332809,0.8813893469733813,0.8806394001253459,0.8809216241034423,0.8659035159443991,0.8953752843062927
ExtraTreesClassifier,RSsecond,0.8819826907946499,0.8822202135226895,0.8813975502390683,0.8817011945294015,0.8659035159443991,0.8968915845337376
ExtraTreesClassifier,RScharge,0.8839496459480723,0.8841730980435031,0.8833821925850067,0.8836772983114447,0.8683565004088307,0.8984078847611827
ExtraTreesClassifier,RSDHP,0.8839496459480723,0.8843556192152943,0.8832631698361639,0.8836406214626409,0.8650858544562551,0.9014404852160728
RF,AAC,0.8808025177025964,0.8820674684365488,0.8796949670114813,0.8803343378674348,0.8503679476696647,0.909021986353298
RF,DPC,0.8481510621557828,0.8483829038917349,0.8474283337373081,0.8477528773299172,0.8282910874897792,0.866565579984837
RF,CTD,0.8198269079464988,0.8203241352376076,0.8187959237188162,0.8192140822937144,0.7914963205233033,0.846095526914329
RF,PAAC,0.8788355625491738,0.8789450253051614,0.8783351940969676,0.8785739100225812,0.8650858544562551,0.8915845337376801
RF,APAAC,0.8741148701809599,0.8742842235700776,0.873548247916947,0.8738242374606011,0.8585445625511039,0.88855193328279
RF,RSacid,0.8823760818253343,0.8838096736020611,0.8812112672389264,0.8818904477642091,0.8503679476696647,0.9120545868081881
RF,RSpolar,0.8843430369787569,0.8857527091413434,0.8831959095848647,0.8838713887922033,0.8528209321340965,0.913570887035633
RF,RSsecond,0.8819826907946499,0.8834533406991951,0.8808024364948545,0.8814894105053903,0.8495502861815208,0.9120545868081881
RF,RScharge,0.8819826907946499,0.8832950588840082,0.8808619478692759,0.8815132740557885,0.8511856091578087,0.910538286580743
RF,RSDHP,0.8784421715184894,0.8800893303348326,0.8771824711726283,0.877902500511798,0.8438266557645135,0.910538286580743
XGBClassifier,AAC,0.8021243115656963,0.8019483421217266,0.8015887677240061,0.8017325180124966,0.7874080130825838,0.8157695223654283
XGBClassifier,DPC,0.7202989771833203,0.7206305570002725,0.7208963032898011,0.7202625692954397,0.7367130008176614,0.7050796057619408
XGBClassifier,CTD,0.7859952793076318,0.787248633844204,0.787177406506701,0.7859947494083643,0.8184791496320524,0.7558756633813495
XGBClassifier,PAAC,0.7804878048780488,0.7802945173463102,0.7806503725350048,0.7803485716515621,0.7849550286181521,0.7763457164518575
XGBClassifier,APAAC,0.7734067663257278,0.7745114023173482,0.7745114023173482,0.7734067663257278,0.803761242845462,0.7452615617892343
XGBClassifier,RSacid,0.7875688434303698,0.7873428600264638,0.7876820133689824,0.7874167200958939,0.7906786590351594,0.7846853677028052
XGBClassifier,RSpolar,0.7824547600314713,0.7842400021850433,0.7838549980565817,0.7824426057312939,0.820932134096484,0.7467778620166793
XGBClassifier,RSsecond,0.7970102281667978,0.7979595668773862,0.7980593092837125,0.7970090972569567,0.8258381030253475,0.7702805155420773
XGBClassifier,RScharge,0.7997639653815893,0.8031789638932496,0.8016947723596941,0.7996768827155476,0.8528209321340965,0.7505686125852918
XGBClassifier,RSDHP,0.7852084972462627,0.7851518950121485,0.7855563414638682,0.7851185776258465,0.794766966475879,0.7763457164518575
KNN,AAC,0.8107789142407553,0.8112438015499239,0.8097201291644789,0.8101265567244236,0.7816843826655765,0.8377558756633814
KNN,DPC,0.7659323367427223,0.7671250219358721,0.7642143847670718,0.7646312046153441,0.7187244480784954,0.8097043214556482
KNN,CTD,0.7604248623131392,0.7608519845044188,0.7611390105118164,0.7604016876900497,0.7800490596892886,0.7422289613343442
KNN,PAAC,0.8261211644374509,0.8379570769165803,0.8224806696517406,0.8232497292657865,0.7260834014717906,0.9188779378316907
KNN,APAAC,0.8056648308418568,0.8179066582818588,0.8017868290170023,0.8021671455938697,0.6991005723630417,0.9044730856709629
KNN,RSacid,0.8056648308418568,0.8062716948802733,0.8044945965531756,0.804930167762653,0.7735077677841373,0.8354814253222138
KNN,RSpolar,0.8099921321793863,0.8102177218449895,0.8106282975345553,0.8099561042817016,0.8274734260016353,0.7937831690674754
KNN,RSsecond,0.8072383949645948,0.8072366789966428,0.8065167434632025,0.8067636297745168,0.7874080130825838,0.8256254738438211
KNN,RScharge,0.8068450039339103,0.8071931318927643,0.8058401115342342,0.8062144732149525,0.7792313982011447,0.8324488248673237
KNN,RSDHP,0.8107789142407553,0.8105433089227594,0.810404509970325,0.8104677379477008,0.8004905968928864,0.8203184230477635
